lead_id,created_date,stage,final_stage,deal_value,probability,source,industry,sales_rep,close_date,expected_revenue
LEAD-00811,2025-01-17,lead,lead,3238,0.08,marketing,retail,Jordan Lee,2025-02-07,259.04
LEAD-00352,2025-01-17,lead,lead,19822,0.08,outbound,tech,Alex Chen,2025-03-12,1585.76
LEAD-00397,2025-01-17,qualified,qualified,19599,0.53,referral,tech,Morgan Patel,2025-03-21,10387.470000000001
LEAD-01110,2025-01-17,proposal,closed_won,4038,1.0,marketing,retail,Morgan Patel,2025-03-13,4038.0
LEAD-01286,2025-01-18,lead,lead,4915,0.16,marketing,tech,Taylor Brooks,2025-03-30,786.4
LEAD-01781,2025-01-18,proposal,proposal,6266,0.64,marketing,tech,Alex Chen,2025-02-25,4010.2400000000002
LEAD-01526,2025-01-18,closed_won,closed_won,18288,1.0,marketing,retail,Morgan Patel,2025-03-14,18288.0
LEAD-00574,2025-01-18,qualified,closed_lost,10589,0.0,outbound,tech,Taylor Brooks,2025-02-05,0.0
LEAD-01463,2025-01-18,proposal,proposal,11366,0.64,marketing,tech,Morgan Patel,2025-03-22,7274.24
LEAD-01518,2025-01-18,lead,lead,8859,0.18,marketing,tech,Alex Chen,2025-04-13,1594.62
LEAD-01270,2025-01-18,qualified,qualified,16057,0.36,outbound,finance,Alex Chen,2025-02-28,5780.5199999999995
LEAD-01653,2025-01-19,closed_lost,closed_lost,14974,0.0,outbound,tech,Jordan Lee,2025-03-29,0.0
LEAD-01464,2025-01-19,closed_won,closed_won,11311,1.0,referral,finance,Taylor Brooks,2025-02-12,11311.0
LEAD-00584,2025-01-19,closed_won,closed_won,18642,1.0,marketing,retail,Jordan Lee,2025-03-29,18642.0
LEAD-01453,2025-01-19,lead,lead,7082,0.21,referral,retail,Taylor Brooks,2025-04-12,1487.22
LEAD-00848,2025-01-19,lead,lead,15875,0.2,referral,retail,Alex Chen,2025-02-19,3175.0
LEAD-00699,2025-01-19,lead,lead,15053,0.06,outbound,tech,Taylor Brooks,2025-04-04,903.18
LEAD-01976,2025-01-19,lead,closed_lost,2036,0.0,outbound,tech,Jordan Lee,2025-03-29,0.0
LEAD-01642,2025-01-19,closed_lost,closed_lost,13507,0.0,outbound,tech,Morgan Patel,2025-02-12,0.0
LEAD-00898,2025-01-20,lead,closed_lost,13991,0.0,marketing,tech,Morgan Patel,2025-02-15,0.0
LEAD-00887,2025-01-20,lead,closed_lost,16219,0.0,marketing,finance,Alex Chen,2025-04-07,0.0
LEAD-01983,2025-01-20,proposal,proposal,2360,0.76,marketing,tech,Jordan Lee,2025-02-21,1793.6
LEAD-00546,2025-01-20,lead,lead,12281,0.1,marketing,retail,Taylor Brooks,2025-03-13,1228.1000000000001
LEAD-01979,2025-01-21,proposal,proposal,11837,0.57,outbound,finance,Taylor Brooks,2025-02-14,6747.089999999999
LEAD-01021,2025-01-21,lead,closed_lost,15447,0.0,referral,tech,Jordan Lee,2025-04-09,0.0
LEAD-00858,2025-01-21,lead,lead,9867,0.19,marketing,tech,Taylor Brooks,2025-02-15,1874.73
LEAD-01801,2025-01-21,lead,lead,8786,0.09,outbound,tech,Alex Chen,2025-04-11,790.74
LEAD-01267,2025-01-21,closed_lost,closed_lost,13329,0.0,outbound,tech,Alex Chen,2025-03-26,0.0
LEAD-01026,2025-01-21,qualified,qualified,4408,0.42,marketing,finance,Jordan Lee,2025-03-24,1851.36
LEAD-00542,2025-01-21,qualified,qualified,9765,0.3,marketing,retail,Taylor Brooks,2025-01-31,2929.5
LEAD-01136,2025-01-22,qualified,qualified,10533,0.56,referral,tech,Alex Chen,2025-04-02,5898.4800000000005
LEAD-01615,2025-01-22,lead,lead,2668,0.16,marketing,tech,Taylor Brooks,2025-02-12,426.88
LEAD-00150,2025-01-22,proposal,proposal,16407,0.55,outbound,tech,Taylor Brooks,2025-04-10,9023.85
LEAD-01351,2025-01-23,closed_lost,closed_lost,1826,0.0,marketing,tech,Morgan Patel,2025-03-15,0.0
LEAD-00619,2025-01-23,proposal,proposal,1673,0.65,outbound,tech,Taylor Brooks,2025-02-06,1087.45
LEAD-01889,2025-01-23,closed_won,closed_won,19259,1.0,marketing,tech,Taylor Brooks,2025-04-03,19259.0
LEAD-01411,2025-01-23,proposal,closed_won,17919,1.0,referral,tech,Alex Chen,2025-04-15,17919.0
LEAD-01470,2025-01-23,qualified,qualified,2867,0.38,marketing,tech,Alex Chen,2025-02-04,1089.46
LEAD-01456,2025-01-24,lead,lead,6227,0.2,referral,tech,Jordan Lee,2025-04-05,1245.4
LEAD-00279,2025-01-24,proposal,closed_won,4080,1.0,outbound,tech,Jordan Lee,2025-03-03,4080.0
LEAD-00036,2025-01-24,proposal,proposal,16643,0.81,referral,retail,Jordan Lee,2025-03-01,13480.830000000002
LEAD-00518,2025-01-25,proposal,proposal,10162,0.65,outbound,tech,Jordan Lee,2025-04-21,6605.3
LEAD-00045,2025-01-25,closed_lost,closed_lost,14920,0.0,marketing,retail,Morgan Patel,2025-04-04,0.0
LEAD-00387,2025-01-25,qualified,closed_lost,11185,0.0,outbound,retail,Alex Chen,2025-03-14,0.0
LEAD-01769,2025-01-25,qualified,closed_won,14831,1.0,outbound,tech,Jordan Lee,2025-02-24,14831.0
LEAD-01035,2025-01-25,lead,lead,18206,0.11,marketing,tech,Jordan Lee,2025-03-13,2002.66
LEAD-01362,2025-01-25,closed_lost,closed_lost,13550,0.0,marketing,retail,Taylor Brooks,2025-03-26,0.0
LEAD-00899,2025-01-26,closed_lost,closed_lost,7921,0.0,marketing,tech,Morgan Patel,2025-03-20,0.0
LEAD-01022,2025-01-27,lead,lead,15942,0.17,marketing,tech,Alex Chen,2025-04-11,2710.1400000000003
LEAD-01953,2025-01-27,lead,closed_lost,14396,0.0,marketing,tech,Morgan Patel,2025-02-17,0.0
LEAD-00659,2025-01-27,lead,lead,2300,0.13,marketing,finance,Alex Chen,2025-02-11,299.0
LEAD-01834,2025-01-27,qualified,qualified,7637,0.28,outbound,retail,Taylor Brooks,2025-04-27,2138.36
LEAD-01253,2025-01-28,proposal,closed_won,19812,1.0,marketing,tech,Jordan Lee,2025-03-15,19812.0
LEAD-01215,2025-01-28,lead,lead,3086,0.14,outbound,retail,Jordan Lee,2025-03-27,432.04
LEAD-00069,2025-01-28,qualified,qualified,18386,0.4,marketing,retail,Jordan Lee,2025-03-31,7354.400000000001
LEAD-01911,2025-01-28,qualified,qualified,1620,0.32,outbound,tech,Alex Chen,2025-04-18,518.4
LEAD-01055,2025-01-28,closed_lost,closed_lost,6152,0.0,marketing,finance,Alex Chen,2025-02-08,0.0
LEAD-01571,2025-01-29,proposal,proposal,2618,0.66,marketing,tech,Alex Chen,2025-03-08,1727.88
LEAD-01027,2025-01-29,qualified,qualified,4916,0.34,outbound,retail,Morgan Patel,2025-04-07,1671.44
LEAD-01588,2025-01-29,qualified,qualified,12054,0.39,marketing,finance,Alex Chen,2025-02-10,4701.06
LEAD-00127,2025-01-29,lead,lead,18563,0.15,referral,retail,Jordan Lee,2025-03-28,2784.45
LEAD-00217,2025-01-29,proposal,proposal,1820,0.65,marketing,tech,Morgan Patel,2025-03-27,1183.0
LEAD-00439,2025-01-30,lead,lead,11257,0.07,outbound,tech,Alex Chen,2025-02-16,787.9900000000001
LEAD-01851,2025-01-30,qualified,qualified,5237,0.43,marketing,tech,Jordan Lee,2025-03-28,2251.91
LEAD-01096,2025-01-30,closed_won,closed_won,11631,1.0,marketing,tech,Morgan Patel,2025-04-25,11631.0
LEAD-01256,2025-01-31,lead,lead,12077,0.23,referral,tech,Taylor Brooks,2025-02-25,2777.71
LEAD-00431,2025-01-31,closed_won,closed_won,6245,1.0,outbound,retail,Morgan Patel,2025-03-01,6245.0
LEAD-01328,2025-01-31,qualified,qualified,17142,0.43,marketing,retail,Alex Chen,2025-03-10,7371.0599999999995
LEAD-00678,2025-01-31,closed_lost,closed_lost,3867,0.0,marketing,retail,Taylor Brooks,2025-03-12,0.0
LEAD-01361,2025-01-31,lead,lead,12154,0.13,outbound,tech,Taylor Brooks,2025-03-18,1580.02
LEAD-01122,2025-01-31,qualified,closed_won,9598,1.0,marketing,finance,Taylor Brooks,2025-04-02,9598.0
LEAD-00246,2025-01-31,closed_lost,closed_lost,14051,0.0,marketing,retail,Jordan Lee,2025-04-22,0.0
LEAD-00280,2025-01-31,proposal,proposal,9456,0.79,referral,tech,Taylor Brooks,2025-02-13,7470.240000000001
LEAD-00196,2025-02-01,closed_lost,closed_lost,11213,0.0,marketing,tech,Morgan Patel,2025-02-17,0.0
LEAD-00753,2025-02-01,closed_lost,closed_lost,7882,0.0,outbound,retail,Jordan Lee,2025-02-24,0.0
LEAD-00007,2025-02-01,closed_won,closed_won,11543,1.0,outbound,retail,Morgan Patel,2025-03-23,11543.0
LEAD-00881,2025-02-01,lead,lead,15204,0.21,referral,retail,Alex Chen,2025-03-06,3192.8399999999997
LEAD-00695,2025-02-02,lead,lead,8975,0.21,referral,finance,Taylor Brooks,2025-03-16,1884.75
LEAD-01531,2025-02-02,proposal,proposal,16308,0.81,referral,finance,Morgan Patel,2025-03-21,13209.480000000001
LEAD-01931,2025-02-02,proposal,proposal,18704,0.73,referral,finance,Alex Chen,2025-04-24,13653.92
LEAD-00172,2025-02-02,qualified,qualified,16207,0.36,outbound,retail,Jordan Lee,2025-04-20,5834.5199999999995
LEAD-00001,2025-02-02,proposal,proposal,10648,0.6,marketing,finance,Jordan Lee,2025-03-12,6388.8
LEAD-01809,2025-02-02,closed_lost,closed_lost,2368,0.0,marketing,tech,Taylor Brooks,2025-04-09,0.0
LEAD-01721,2025-02-02,closed_won,closed_won,7312,1.0,referral,tech,Jordan Lee,2025-05-02,7312.0
LEAD-00728,2025-02-02,lead,lead,3452,0.08,outbound,tech,Taylor Brooks,2025-04-05,276.16
LEAD-01543,2025-02-02,lead,closed_won,2679,1.0,marketing,finance,Alex Chen,2025-03-14,2679.0
LEAD-01633,2025-02-03,lead,lead,15648,0.09,outbound,tech,Alex Chen,2025-02-13,1408.32
LEAD-00033,2025-02-03,lead,lead,19825,0.27,referral,tech,Taylor Brooks,2025-02-15,5352.75
LEAD-00826,2025-02-03,lead,closed_lost,9246,0.0,marketing,retail,Jordan Lee,2025-03-22,0.0
LEAD-00359,2025-02-03,lead,lead,19869,0.26,referral,retail,Taylor Brooks,2025-03-18,5165.9400000000005
LEAD-00133,2025-02-03,lead,lead,6853,0.09,marketing,tech,Taylor Brooks,2025-02-21,616.77
LEAD-00910,2025-02-03,qualified,qualified,13679,0.32,outbound,finance,Taylor Brooks,2025-02-28,4377.28
LEAD-00376,2025-02-04,lead,lead,5988,0.1,marketing,tech,Morgan Patel,2025-03-26,598.8000000000001
LEAD-00243,2025-02-04,proposal,proposal,10504,0.73,marketing,finance,Morgan Patel,2025-04-08,7667.92
LEAD-00581,2025-02-04,lead,lead,10500,0.1,outbound,finance,Morgan Patel,2025-02-27,1050.0
LEAD-00977,2025-02-04,closed_won,closed_won,9721,1.0,marketing,tech,Morgan Patel,2025-05-03,9721.0
LEAD-00951,2025-02-04,proposal,proposal,1140,0.59,outbound,tech,Alex Chen,2025-02-16,672.5999999999999
LEAD-00010,2025-02-04,qualified,qualified,2158,0.45,marketing,finance,Alex Chen,2025-04-27,971.1
LEAD-00674,2025-02-04,qualified,closed_lost,9121,0.0,marketing,tech,Morgan Patel,2025-04-11,0.0
LEAD-01690,2025-02-04,closed_won,closed_won,12423,1.0,referral,retail,Jordan Lee,2025-04-13,12423.0
LEAD-00791,2025-02-04,proposal,closed_won,2266,1.0,outbound,tech,Morgan Patel,2025-03-30,2266.0
LEAD-00700,2025-02-04,qualified,closed_lost,14088,0.0,outbound,tech,Alex Chen,2025-03-06,0.0
LEAD-01842,2025-02-05,lead,lead,15273,0.13,marketing,tech,Jordan Lee,2025-04-29,1985.49
LEAD-00087,2025-02-05,proposal,closed_won,16602,1.0,outbound,tech,Morgan Patel,2025-04-05,16602.0
LEAD-00218,2025-02-05,proposal,proposal,7986,0.78,referral,tech,Morgan Patel,2025-04-04,6229.08
LEAD-01788,2025-02-06,proposal,proposal,4990,0.81,referral,retail,Taylor Brooks,2025-04-29,4041.9
LEAD-01738,2025-02-06,lead,lead,13323,0.23,referral,tech,Alex Chen,2025-04-17,3064.29
LEAD-00588,2025-02-06,closed_lost,closed_lost,19830,0.0,referral,retail,Morgan Patel,2025-03-05,0.0
LEAD-01880,2025-02-06,qualified,closed_lost,6145,0.0,marketing,tech,Taylor Brooks,2025-03-04,0.0
LEAD-00891,2025-02-06,qualified,qualified,1348,0.37,marketing,tech,Jordan Lee,2025-02-22,498.76
LEAD-00580,2025-02-07,qualified,closed_lost,17925,0.0,outbound,tech,Morgan Patel,2025-03-27,0.0
LEAD-01436,2025-02-07,closed_won,closed_won,16971,1.0,outbound,retail,Taylor Brooks,2025-04-08,16971.0
LEAD-01289,2025-02-07,qualified,qualified,14982,0.35,marketing,finance,Jordan Lee,2025-04-24,5243.7
LEAD-00258,2025-02-07,closed_lost,closed_lost,11161,0.0,outbound,tech,Taylor Brooks,2025-04-10,0.0
LEAD-01450,2025-02-07,closed_won,closed_won,9055,1.0,referral,tech,Taylor Brooks,2025-03-17,9055.0
LEAD-01359,2025-02-07,closed_lost,closed_lost,2913,0.0,outbound,retail,Jordan Lee,2025-03-03,0.0
LEAD-01855,2025-02-08,qualified,qualified,10807,0.36,outbound,tech,Morgan Patel,2025-03-11,3890.52
LEAD-01730,2025-02-08,qualified,qualified,11041,0.41,outbound,tech,Morgan Patel,2025-03-27,4526.8099999999995
LEAD-01166,2025-02-08,proposal,closed_won,15238,1.0,marketing,tech,Jordan Lee,2025-03-11,15238.0
LEAD-00818,2025-02-08,proposal,proposal,13333,0.59,marketing,tech,Alex Chen,2025-03-27,7866.469999999999
LEAD-00583,2025-02-08,lead,lead,18123,0.07,marketing,tech,Morgan Patel,2025-02-27,1268.6100000000001
LEAD-01827,2025-02-08,proposal,proposal,9004,0.67,marketing,tech,Morgan Patel,2025-03-17,6032.68
LEAD-00171,2025-02-08,qualified,qualified,14053,0.31,marketing,finance,Alex Chen,2025-03-25,4356.43
LEAD-00516,2025-02-08,qualified,qualified,3104,0.32,marketing,finance,Jordan Lee,2025-04-06,993.28
LEAD-00460,2025-02-08,proposal,closed_won,9241,1.0,marketing,finance,Alex Chen,2025-04-19,9241.0
LEAD-00480,2025-02-09,closed_lost,closed_lost,11752,0.0,marketing,retail,Morgan Patel,2025-04-21,0.0
LEAD-01227,2025-02-09,proposal,proposal,4148,0.59,outbound,retail,Taylor Brooks,2025-02-28,2447.3199999999997
LEAD-00310,2025-02-09,qualified,closed_lost,9028,0.0,outbound,tech,Alex Chen,2025-03-23,0.0
LEAD-00322,2025-02-09,lead,lead,14098,0.13,marketing,tech,Taylor Brooks,2025-04-17,1832.74
LEAD-01272,2025-02-09,lead,lead,5995,0.17,referral,retail,Morgan Patel,2025-04-17,1019.1500000000001
LEAD-01538,2025-02-10,closed_lost,closed_lost,16576,0.0,marketing,finance,Jordan Lee,2025-03-01,0.0
LEAD-01489,2025-02-10,closed_won,closed_won,19235,1.0,marketing,tech,Jordan Lee,2025-04-21,19235.0
LEAD-01484,2025-02-10,qualified,qualified,7880,0.4,marketing,tech,Morgan Patel,2025-03-19,3152.0
LEAD-01867,2025-02-10,lead,lead,6147,0.09,marketing,tech,Morgan Patel,2025-03-28,553.23
LEAD-01816,2025-02-10,lead,lead,16361,0.2,referral,tech,Morgan Patel,2025-03-09,3272.2000000000003
LEAD-01466,2025-02-10,qualified,qualified,17228,0.31,outbound,tech,Morgan Patel,2025-04-24,5340.68
LEAD-00808,2025-02-10,lead,lead,10968,0.15,marketing,retail,Alex Chen,2025-03-02,1645.2
LEAD-00873,2025-02-11,lead,lead,3291,0.05,outbound,tech,Morgan Patel,2025-04-04,164.55
LEAD-01579,2025-02-11,proposal,proposal,5583,0.7,marketing,retail,Taylor Brooks,2025-03-26,3908.1
LEAD-00501,2025-02-11,qualified,closed_lost,4318,0.0,referral,tech,Alex Chen,2025-03-01,0.0
LEAD-01321,2025-02-11,lead,lead,8962,0.11,marketing,finance,Morgan Patel,2025-04-03,985.82
LEAD-01216,2025-02-11,lead,lead,5201,0.12,marketing,tech,Morgan Patel,2025-04-30,624.12
LEAD-00120,2025-02-11,proposal,closed_lost,17850,0.0,outbound,tech,Alex Chen,2025-02-23,0.0
LEAD-00365,2025-02-12,lead,lead,8365,0.12,marketing,tech,Morgan Patel,2025-03-26,1003.8
LEAD-01020,2025-02-12,proposal,proposal,11932,0.67,marketing,retail,Morgan Patel,2025-03-26,7994.4400000000005
LEAD-00538,2025-02-12,closed_won,closed_won,1709,1.0,outbound,retail,Taylor Brooks,2025-03-01,1709.0
LEAD-00726,2025-02-12,qualified,closed_won,10881,1.0,marketing,finance,Alex Chen,2025-03-29,10881.0
LEAD-00313,2025-02-13,qualified,qualified,11416,0.47,referral,retail,Jordan Lee,2025-04-04,5365.5199999999995
LEAD-01157,2025-02-13,closed_won,closed_won,8873,1.0,marketing,finance,Alex Chen,2025-03-16,8873.0
LEAD-00724,2025-02-13,qualified,qualified,13149,0.43,referral,tech,Alex Chen,2025-04-17,5654.07
LEAD-00946,2025-02-13,lead,closed_lost,19844,0.0,outbound,finance,Taylor Brooks,2025-04-04,0.0
LEAD-00778,2025-02-13,closed_won,closed_won,19549,1.0,marketing,tech,Jordan Lee,2025-05-09,19549.0
